cdn,input,signal
cp,input,signal
a,input,signal
a0,input,signal
a1,input,signal
a2,input,signal
a3,input,signal
a4,input,signal
b,input,signal
b0,input,signal
b1,input,signal
b2,input,signal
b3,input,signal
b4,input,signal
c,input,signal
c0,input,signal
c1,input,signal
c2,input,signal
c3,input,signal
c4,input,signal
d,input,signal
i,input,signal
i0,input,signal
i1,input,signal
i2,input,signal
i3,input,signal
i4,input,signal
s,input,signal
s0,input,signal
s1,input,signal
q,output,signal
qn,output,signal
z,output,signal
zn,output,signal
vdd,inputOutput,supply
vss,inputOutput,ground
